#,CHIP,txfe,,,,,,,
#,CHIP TxMODE,371,,,,,,,
#,CHIP RxMODE,239,,,,,,,
#,fDAC,11796.48,,,,,,,
#,fADC,5898.24,,,,,,,
#,signalpower,10,,,,,,,
#,board,AD9081_FMCA_EBZ_RevB_50ohmLAM_bestBET,,,,,,,
#,dieversion,R1,,,,,,,
#,adcchannel,1,,,,,,,
#,Balun,MARKI,,,,,,,
FIN [Hz],NPTS,Sample Rate [MHz],DC Mag [dBFS],Fund Freq [MHz],Fund Mag [dBFS],dBtomagnitude,O/P Fullscale to 1,Invert to get A,Invert O/P Fullscal to 1 to get  A
1003520000,65536,1,-79.657,0.17,-2.049,0.78985978,1.2660475,1.2660475,0.78985978
1013760000,65536,1,-73.205,0.172,-2,0.794328235,1.258925412,1.258925412,0.794328235
1024000000,65536,1,-76.63,0.174,-1.973,0.796801238,1.255018131,1.255018131,0.796801238
1034240000,65536,1,-76.133,0.175,-1.929,0.800847824,1.248676677,1.248676677,0.800847824
1044480000,65536,1,-78.687,0.177,-1.926,0.801124475,1.248245474,1.248245474,0.801124475
1054720000,65536,1,-75.619,0.179,-1.927,0.801032247,1.248389192,1.248389192,0.801032247
1064960000,65536,1,-79.665,0.181,-1.951,0.798821969,1.251843389,1.251843389,0.798821969
1075200000,65536,1,-72.473,0.182,-1.979,0.796251017,1.255885366,1.255885366,0.796251017
1085440000,65536,1,-72.84,0.184,-1.992,0.795060175,1.257766432,1.257766432,0.795060175
1095680000,65536,1,-78.888,0.186,-2.008,0.793596968,1.260085459,1.260085459,0.793596968
1105920000,65536,1,-73.579,0.188,-1.989,0.795334827,1.25733209,1.25733209,0.795334827
1116160000,65536,1,-74.858,0.189,-1.959,0.798086565,1.25299691,1.25299691,0.798086565
1126400000,65536,1,-76.704,0.191,-1.899,0.803618637,1.24437134,1.24437134,0.803618637
1136640000,65536,1,-76.373,0.193,-1.842,0.808909619,1.236232054,1.236232054,0.808909619
1146880000,65536,1,-75.781,0.194,-1.819,0.811054429,1.232962875,1.232962875,0.811054429
1157120000,65536,1,-76.17,0.196,-1.832,0.809841447,1.234809608,1.234809608,0.809841447
1167360000,65536,1,-72.31,0.198,-1.876,0.805749417,1.241080637,1.241080637,0.805749417
1177600000,65536,1,-73.718,0.2,-1.915,0.802139679,1.246665669,1.246665669,0.802139679
1187840000,65536,1,-75.032,0.201,-1.942,0.799650108,1.250546946,1.250546946,0.799650108
1198080000,65536,1,-73.921,0.203,-1.933,0.800479105,1.249251846,1.249251846,0.800479105
1208320000,65536,1,-76.559,0.205,-1.882,0.805193017,1.241938242,1.241938242,0.805193017
1218560000,65536,1,-75.302,0.207,-1.788,0.813954259,1.228570265,1.228570265,0.813954259
1228800000,65536,1,-74.583,0.208,-1.724,0.819973845,1.219551094,1.219551094,0.819973845
1239040000,65536,1,-76.404,0.21,-1.669,0.825182483,1.211853161,1.211853161,0.825182483
1249280000,65536,1,-75.559,0.212,-1.682,0.823948372,1.213668276,1.213668276,0.823948372
1259520000,65536,1,-77.16,0.214,-1.739,0.818559023,1.221659003,1.221659003,0.818559023
1269760000,65536,1,-76.834,0.215,-1.792,0.813579506,1.229136173,1.229136173,0.813579506
1280000000,65536,1,-75.24,0.217,-1.829,0.810121205,1.234383193,1.234383193,0.810121205
1290240000,65536,1,-75.5,0.219,-1.809,0.811988727,1.231544191,1.231544191,0.811988727
1300480000,65536,1,-78.075,0.22,-1.768,0.815830617,1.225744632,1.225744632,0.815830617
1310720000,65536,1,-76.099,0.222,-1.706,0.821674861,1.217026402,1.217026402,0.821674861
1320960000,65536,1,-74.962,0.224,-1.645,0.827465699,1.208509309,1.208509309,0.827465699
1331200000,65536,1,-75.022,0.226,-1.628,0.829086799,1.206146331,1.206146331,0.829086799
1341440000,65536,1,-77.971,0.227,-1.664,0.825657633,1.211155763,1.211155763,0.825657633
1351680000,65536,1,-75.922,0.229,-1.742,0.818276351,1.222081022,1.222081022,0.818276351
1361920000,65536,1,-78.707,0.231,-1.815,0.811428019,1.232395205,1.232395205,0.811428019
1372160000,65536,1,-73.312,0.233,-1.822,0.810774349,1.233388799,1.233388799,0.810774349
1382400000,65536,1,-77.664,0.234,-1.819,0.811054429,1.232962875,1.232962875,0.811054429
1392640000,65536,1,-75.212,0.236,-1.782,0.814516713,1.227721892,1.227721892,0.814516713
1402880000,65536,1,-75.96,0.238,-1.759,0.816676389,1.224475218,1.224475218,0.816676389
1413120000,65536,1,-77.471,0.24,-1.698,0.822432,1.215905996,1.215905996,0.822432
1423360000,65536,1,-75.865,0.241,-1.714,0.820918419,1.218147842,1.218147842,0.820918419
1433600000,65536,1,-76.875,0.243,-1.678,0.824327902,1.21310949,1.21310949,0.824327902
1443840000,65536,1,-77.265,0.245,-1.659,0.826133056,1.210458766,1.210458766,0.826133056
1454080000,65536,1,-73.067,0.247,-1.657,0.826323302,1.21018008,1.21018008,0.826323302
1464320000,65536,1,-78.899,0.248,-1.658,0.826228174,1.210319415,1.210319415,0.826228174
1474560000,65536,1,-72.589,0.25,-1.686,0.823569017,1.214227319,1.214227319,0.823569017
1484800000,65536,1,-76.301,0.252,-1.696,0.822621394,1.215626055,1.215626055,0.822621394
1495040000,65536,1,-78.138,0.253,-1.71,0.821296553,1.217586993,1.217586993,0.821296553
1505280000,65536,1,-75.334,0.255,-1.704,0.82186408,1.216746204,1.216746204,0.82186408
1515520000,65536,1,-77.526,0.257,-1.651,0.826894303,1.209344406,1.209344406,0.826894303
1525760000,65536,1,-76.966,0.259,-1.607,0.831093719,1.203233736,1.203233736,0.831093719
1536000000,65536,1,-76.149,0.26,-1.582,0.833489245,1.19977553,1.19977553,0.833489245
1546240000,65536,1,-74.068,0.262,-1.59,0.832721926,1.200881073,1.200881073,0.832721926
1556480000,65536,1,-79.945,0.264,-1.629,0.828991352,1.206285201,1.206285201,0.828991352
1566720000,65536,1,-70.663,0.266,-1.674,0.824707606,1.212550961,1.212550961,0.824707606
1576960000,65536,1,-77.102,0.267,-1.714,0.820918419,1.218147842,1.218147842,0.820918419
1587200000,65536,1,-70.191,0.269,-1.714,0.820918419,1.218147842,1.218147842,0.820918419
1597440000,65536,1,-77.825,0.271,-1.69,0.823189837,1.21478662,1.21478662,0.823189837
1607680000,65536,1,-75.499,0.273,-1.636,0.828323533,1.207257744,1.207257744,0.828323533
1617920000,65536,1,-75.483,0.274,-1.586,0.833105497,1.200328174,1.200328174,0.833105497
1628160000,65536,1,-75.926,0.276,-1.585,0.833201417,1.200189989,1.200189989,0.833201417
1638400000,65536,1,-75.059,0.278,-1.563,0.835314461,1.197153942,1.197153942,0.835314461
1648640000,65536,1,-76.359,0.28,-1.591,0.832626061,1.201019338,1.201019338,0.832626061
1658880000,65536,1,-80.924,0.281,-1.613,0.830519818,1.204065187,1.204065187,0.830519818
1669120000,65536,1,-74.914,0.283,-1.632,0.828705078,1.20670191,1.20670191,0.828705078
1679360000,65536,1,-70.981,0.285,-1.618,0.83004187,1.204758503,1.204758503,0.83004187
1689600000,65536,1,-74.965,0.286,-1.598,0.831955314,1.201987635,1.201987635,0.831955314
1699840000,65536,1,-74.703,0.288,-1.563,0.835314461,1.197153942,1.197153942,0.835314461
1710080000,65536,1,-82.836,0.29,-1.526,0.838880308,1.192065173,1.192065173,0.838880308
1720320000,65536,1,-75.999,0.292,-1.5,0.841395142,1.188502227,1.188502227,0.841395142
1730560000,65536,1,-76.501,0.293,-1.486,0.842752404,1.186588131,1.186588131,0.842752404
1740800000,65536,1,-73.728,0.295,-1.489,0.842461378,1.186998035,1.186998035,0.842461378
1751040000,65536,1,-75.431,0.297,-1.507,0.84071733,1.189460433,1.189460433,0.84071733
1761280000,65536,1,-77.735,0.299,-1.515,0.839943358,1.190556471,1.190556471,0.839943358
1771520000,65536,1,-79.676,0.3,-1.519,0.839556638,1.191104869,1.191104869,0.839556638
1781760000,65536,1,-73.898,0.302,-1.516,0.839846661,1.190693547,1.190693547,0.839846661
1792000000,65536,1,-76.259,0.304,-1.495,0.841879627,1.187818267,1.187818267,0.841879627
1802240000,65536,1,-72.293,0.306,-1.477,0.843626086,1.185359269,1.185359269,0.843626086
1812480000,65536,1,-75.833,0.307,-1.456,0.8456682,1.18249687,1.18249687,0.8456682
1822720000,65536,1,-75.715,0.309,-1.437,0.847520087,1.179913038,1.179913038,0.847520087
1832960000,65536,1,-75.647,0.311,-1.428,0.848398711,1.178691088,1.178691088,0.848398711
1843200000,65536,1,-76.7,0.313,-1.415,0.849669443,1.176928284,1.176928284,0.849669443
1853440000,65536,1,-75.971,0.314,-1.407,0.850452378,1.175844792,1.175844792,0.850452378
1863680000,65536,1,-79.447,0.316,-1.414,0.849767271,1.176792793,1.176792793,0.849767271
1873920000,65536,1,-75.447,0.318,-1.427,0.848496392,1.178555394,1.178555394,0.848496392
1884160000,65536,1,-76.347,0.319,-1.416,0.849571627,1.177063791,1.177063791,0.849571627
1894400000,65536,1,-75.356,0.321,-1.394,0.851726187,1.174086245,1.174086245,0.851726187
1904640000,65536,1,-77,0.323,-1.384,0.852707337,1.172735306,1.172735306,0.852707337
1914880000,65536,1,-77.08,0.325,-1.363,0.854771434,1.169903392,1.169903392,0.854771434
1925120000,65536,1,-78.629,0.326,-1.341,0.856939181,1.166943959,1.166943959,0.856939181
1935360000,65536,1,-76.754,0.328,-1.337,0.857333907,1.166406685,1.166406685,0.857333907
1945600000,65536,1,-75.543,0.33,-1.341,0.856939181,1.166943959,1.166943959,0.856939181
1955840000,65536,1,-73.154,0.332,-1.344,0.856643256,1.167347076,1.167347076,0.856643256
1966080000,65536,1,-68.568,0.333,-1.37,0.854082847,1.170846602,1.170846602,0.854082847
1976320000,65536,1,-73.464,0.335,-1.358,0.855263622,1.169230135,1.169230135,0.855263622
1986560000,65536,1,-77.38,0.337,-1.362,0.854869849,1.169768709,1.169768709,0.854869849
1996800000,65536,1,-76.266,0.339,-1.355,0.855559071,1.168826367,1.168826367,0.855559071
2007040000,65536,1,-75.432,0.34,-1.361,0.854968275,1.169634042,1.169634042,0.854968275
2017280000,65536,1,-78.168,0.342,-1.38,0.853100114,1.172195366,1.172195366,0.853100114
2027520000,65536,1,-77.362,0.344,-1.394,0.851726187,1.174086245,1.174086245,0.851726187
